,accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
0,2015530209628,2,5,0,16,0,0,2,0,7,0,1,1,6,1,42,7,919,1,13,-1,3,-1,2,3,413791.0,241920.0,-1.800194,52.075474,53,1,3,2,42101,7,1899-12-30 15:30:00,621,E10000013,4,4632,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022184,1.0,1.0,1.0,42.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0
1,201520Z000765,3,9,0,18,0,0,0,0,0,0,3,1,6,1,26,6,-1,-1,-1,-1,1,-1,3,3,408810.0,290120.0,-1.871625,52.508903,20,1,3,3,23/03/2015,2,1899-12-30 12:30:00,300,E08000025,2,38,3,50,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01008899,3.0,1.0,1.0,26.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,5.0
2,2015360096308,1,9,0,18,0,0,0,0,0,0,4,1,6,2,27,6,1360,1,12,-1,2,-1,1,1,621298.0,298360.0,1.26174,52.538107,36,1,1,1,20/12/2015,1,1899-12-30 11:48:00,406,E10000020,3,140,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01026919,1.0,3.0,1.0,69.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0
3,2015520500472,1,9,0,18,0,8,0,0,0,0,1,-1,6,2,51,8,1390,1,2,-1,1,-1,1,2,336741.0,139113.0,-2.905752,51.147767,52,1,2,1,18/01/2015,1,1899-12-30 14:36:00,607,E10000027,3,39,6,50,3,4,6,0,0,0,1,1,2,0,0,2,1,E01029151,,,,,,,,,,,,,,
4,201563CP09015,2,5,0,18,0,1,1,0,0,0,1,1,2,1,63,9,-1,-1,-1,-1,-1,-1,1,2,197800.0,199720.0,-4.924848,51.659794,63,1,2,1,42042,5,1899-12-30 20:09:00,752,W06000009,4,4319,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,W01000608,1.0,1.0,1.0,63.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,-1.0
5,2015350010515,2,90,0,5,0,1,0,0,0,0,3,1,6,2,88,11,-1,-1,-1,-1,1,-1,1,2,531660.0,271330.0,-0.069569,52.324281,35,1,2,1,24/01/2015,7,1899-12-30 10:05:00,393,E10000003,5,303,6,30,3,4,6,0,0,8,1,1,2,0,0,1,1,E01018168,1.0,1.0,2.0,88.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,8.0
6,2015215000944,1,10,0,16,0,0,0,0,1,10,3,2,2,1,27,6,-1,-1,-1,-1,3,-1,9,2,423318.0,326519.0,-1.655307,52.835688,21,1,2,9,15/02/2015,1,1899-12-30 06:56:00,251,E10000028,3,511,6,40,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01029466,8.0,2.0,1.0,49.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,9.0
7,2015360087833,1,9,0,18,0,0,0,0,0,0,1,1,6,2,46,8,1360,1,16,-1,1,-1,6,3,606754.0,296926.0,1.046729,52.530945,36,1,3,6,14/02/2015,7,1899-12-30 23:27:00,400,E10000020,3,11,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01026448,1.0,1.0,2.0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0
8,201501TD00076,1,9,0,18,0,0,0,0,0,0,4,1,6,1,22,5,1364,1,9,-1,1,-1,4,1,540700.0,171490.0,0.022328,51.424961,1,1,1,4,42191,1,1899-12-30 18:20:00,19,E09000006,3,2212,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01000818,2.0,2.0,2.0,17.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,2.0
9,2015471501996,1,9,0,15,0,8,1,0,4,4,3,1,6,1,22,5,1124,1,16,-1,1,-1,2,2,493841.0,102027.0,-0.669463,50.810205,47,1,2,2,42342,1,1899-12-30 06:51:00,558,E10000032,3,29,3,40,3,4,6,0,0,0,1,1,1,5,0,2,1,E01031402,2.0,2.0,2.0,17.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,5.0
10,201511ND21615,1,9,0,16,0,8,1,10,7,11,4,1,2,1,26,6,1998,1,11,-1,1,-1,2,1,425719.0,537958.0,-1.602094,54.735944,11,1,1,2,23/10/2015,6,1899-12-30 18:03:00,169,E06000047,4,6300,6,60,3,4,6,0,0,0,6,1,1,0,0,2,1,E01020684,2.0,2.0,1.0,24.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,8.0
